ZCTA5CE10,INTPTLAT10,INTPTLON10,STUSPS
"24521","+37.6332914","-079.1008400",VA
"24522","+37.3767914","-078.7787735",VA
"24523","+37.3443000","-079.5224943",VA
"24526","+37.5432734","-079.4159354",VA
"24527","+36.7367676","-079.3417212",VA
"24528","+37.0796860","-078.8762288",VA
"24529","+36.6266188","-078.6467538",VA
"24530","+36.8070667","-079.6195012",VA
"24531","+36.8426207","-079.4537811",VA
"24534","+36.8674146","-078.7705116",VA
"24536","+37.4956893","-079.3265324",VA
"24538","+37.3451975","-078.9623717",VA
"24539","+36.8529004","-078.9147182",VA
"24540","+36.6345079","-079.4267575",VA
"24549","+36.7066605","-079.5044754",VA
"24550","+37.2396299","-079.2453951",VA
"24551","+37.3562564","-079.3245982",VA
"24553","+37.5455038","-078.8100097",VA
"24554","+37.1200450","-079.0716192",VA
"24555","+37.6698287","-079.4840879",VA
"24556","+37.3758248","-079.3993050",VA
"24557","+36.9698593","-079.3064236",VA
"24558","+36.7743412","-078.9539635",VA
"24562","+37.6954255","-078.6377769",VA
"24563","+37.0625005","-079.2791153",VA
"24565","+36.8527198","-079.1895012",VA
"24566","+36.7318276","-079.2526395",VA
"24569","+37.0425522","-079.1258554",VA
"24570","+37.3464600","-079.4244569",VA
"24571","+37.1329610","-079.3727482",VA
"24572","+37.4649088","-079.0952645",VA
"24574","+37.5761497","-079.2533667",VA
"24577","+36.9439327","-078.9826737",VA
"24578","+37.6598822","-079.5622801",VA
"24579","+37.5858030","-079.5026984",VA
"24580","+36.5790539","-078.6731211",VA
"24581","+37.6552156","-078.8057655",VA
"24588","+37.2621518","-079.0962335",VA
"24589","+36.7608077","-078.7580474",VA
"24590","+37.7960015","-078.4923728",VA
"24592","+36.6757949","-078.9655551",VA
"24593","+37.3225639","-078.9027582",VA
"24594","+36.6468433","-079.1785280",VA
"24595","+37.5607097","-079.0810207",VA
"24597","+36.7824109","-079.1108578",VA
"24598","+36.6046699","-078.7880038",VA
"24599","+37.6235625","-078.7238902",VA
"24601","+37.1937322","-081.6492428",VA
"24602","+37.1832130","-081.6585102",VA
"24603","+37.3553860","-082.1901086",VA
"24605","+37.2541777","-081.3712107",VA
"24606","+37.2863132","-081.3987713",VA
"24607","+37.2935272","-082.2625500",VA
"24609","+37.0095992","-081.8078131",VA
"24612","+37.0933753","-081.8381408",VA
"24613","+37.2651569","-081.3368806",VA
"24614","+37.2986510","-082.0710885",VA
"24620","+37.4313520","-082.0117572",VA
"24622","+37.2146744","-081.7898525",VA
"24628","+37.2824023","-082.2229847",VA
"24630","+37.1783270","-081.4655455",VA
"24631","+37.2172662","-081.9906938",VA
"24634","+37.2678274","-081.9027509",VA
"24635","+37.3126106","-081.3629878",VA
"24637","+37.0610824","-081.7138941",VA
"24639","+37.1603744","-081.8882023",VA
"24641","+37.1118131","-081.8024456",VA
"24646","+37.1448207","-082.0242089",VA
"24649","+37.0629998","-081.8994765",VA
"24651","+37.0755285","-081.5030947",VA
"22949","+37.7890795","-078.8834397",VA
"22952","+37.9635622","-078.9627405",VA
"22958","+37.8927692","-078.8942920",VA
"22959","+37.9372753","-078.6565882",VA
"22960","+38.2191830","-078.0726982",VA
"22963","+37.8481044","-078.3051128",VA
"22964","+37.7319460","-078.9975848",VA
"20774","+38.8745319","-076.7741822",MD
"20776","+38.8723250","-076.5724290",MD
"20777","+39.1749380","-076.9690850",MD
"20778","+38.8286940","-076.5727050",MD
"20779","+38.7635998","-076.5733875",MD
"20781","+38.9528596","-076.9462896",MD
"22967","+37.7973054","-079.0140823",VA
"22968","+38.2406016","-078.4008877",VA
"20782","+38.9658747","-076.9660907",MD
"21550","+39.3893805","-079.3907446",MD
"21555","+39.5751402","-078.5625738",MD
"21557","+39.5362330","-078.9227902",MD
"21561","+39.4915887","-079.1944006",MD
"21562","+39.5138510","-079.0393801",MD
"20601","+38.6133720","-076.8516122",MD
"20602","+38.5832476","-076.8947026",MD
"20603","+38.6303898","-076.9765834",MD
"20606","+38.2630457","-076.7373090",MD
"20607","+38.6726657","-077.0185489",MD
"20608","+38.5824048","-076.7009977",MD
"20609","+38.2700115","-076.7677468",MD
