ZCTA5CE10,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00
23168,165.00320000000002,156.97319999999996,148.7366,146.2434,145.14339999999999,143.84,143.9634,144.77020000000002
23169,176.7332,168.2334,163.5298,163.0368,161.65,161.7298,161.7234,162.92659999999998
23173,138.4098,135.61999999999998,126.49679999999998,119.15,116.22999999999999,115.29659999999998,113.9334,113.6202
20184,77.7366,86.29660000000001,92.2168,93.31,88.02,84.8068,86.9836,82.6366
20186,77.79979999999999,92.4336,96.59979999999999,93.26660000000001,87.0166,80.8102,79.55,73.6734
20187,70.0466,78.59299999999999,86.2766,86.7732,81.67339999999999,72.8034,73.0166,67.34660000000001
20190,28.2668,28.3666,28.7,31.5168,34.626599999999996,34.459999999999994,31.3302,30.903399999999998
20191,29.636599999999998,29.850199999999994,30.279999999999994,33.3798,35.839999999999996,35.803399999999996,32.8134,32.696799999999996
20194,30.5332,32.2798,34.959999999999994,40.3566,42.5266,41.01,37.99320000000001,39.9332
20197,63.2334,65.77,72.38340000000001,74.8866,73.35679999999999,68.5668,71.20339999999999,68.00680000000001
20198,70.19659999999999,78.5298,85.3132,84.02340000000001,79.5568,71.17,72.0698,65.6266
22003,22.3934,25.526600000000002,28.5166,35.7166,34.5834,32.1234,25.856599999999997,23.723399999999998
23175,167.50320000000002,160.67680000000001,153.1366,150.8032,150.0066,148.92999999999998,149.3968,150.42000000000002
23176,183.2602,173.50979999999998,169.82,170.62320000000003,168.7302,168.96999999999997,169.29,170.1532
23177,150.85660000000001,143.70999999999998,134.4366,129.3734,129.09339999999997,127.72999999999999,126.7166,126.50999999999999
23180,171.47000000000003,164.0268,156.39000000000001,154.85999999999999,153.8766,152.84679999999997,152.9668,154.3166
23181,153.51659999999998,146.7566,137.8434,132.75680000000003,132.34,130.93,130.44979999999998,130.1934
23185,174.65339999999998,165.82999999999998,159.9632,158.54659999999998,157.5102,156.74679999999998,156.8766,158.40679999999998
20910,32.7868,36.4134,39.0332,42.086400000000005,44.5034,44.71999999999999,44.0734,43.4834
20912,26.6964,31.013599999999997,32.2334,36.7932,40.806599999999996,38.89659999999999,36.3702,36.0798
23434,207.72660000000002,204.58319999999998,204.5968,202.9602,203.39659999999998,203.4632,204.9,205.3666
23435,197.90680000000003,195.9032,195.22660000000002,193.39339999999999,192.14319999999998,191.76,193.2866,194.18019999999999
23436,196.3332,192.16680000000002,191.6168,191.9198,191.76999999999998,190.64339999999999,192.4432,193.4898
23437,209.46660000000003,209.81660000000002,207.91639999999998,205.4266,204.57020000000003,204.40659999999997,206.4234,206.38340000000002
23438,214.4598,213.7434,212.49679999999998,211.1,211.7264,212.57999999999998,213.44339999999997,213.8366
23440,206.26,199.1866,194.2034,193.14999999999998,191.3266,191.59339999999997,191.2798,192.41
21001,109.74000000000001,121.42999999999999,124.7868,119.88340000000001,110.86999999999998,100.51320000000001,94.4134,91.7268
21005,114.25340000000001,125.88999999999999,125.90320000000001,121.7832,114.13340000000001,103.07339999999999,97.6998,94.49
21009,102.92339999999999,115.54339999999999,119.8202,115.82339999999999,107.4068,95.68,90.23660000000001,87.0668
21010,110.28,120.5498,123.9002,120.59,112.52000000000001,102.9,96.31320000000001,93.26000000000002
23441,221.18980000000002,215.41660000000002,213.42999999999998,212.43980000000002,212.1832,211.22000000000003,211.9466,212.64659999999998
23442,209.63340000000002,202.4468,198.90680000000003,198.60320000000002,197.1198,196.0632,197.06339999999997,197.69340000000003
23451,212.3734,211.5134,211.15679999999998,210.40680000000003,209.69339999999997,210.29659999999998,211.0564,211.8734
21012,57.68679999999999,62.299800000000005,68.67,70.6634,69.91319999999999,62.7934,55.736799999999995,52.3266
21013,116.8134,126.00999999999999,128.2066,123.95680000000002,118.7834,110.6634,103.5232,98.0798
21014,109.53659999999999,121.73679999999999,123.9,119.53659999999999,110.8434,100.67660000000001,94.61679999999998,92.46340000000001
21015,111.52000000000001,122.9834,125.0598,120.72320000000002,112.74680000000001,102.24980000000001,95.4502,92.6534
21017,104.79339999999999,117.37340000000002,121.77000000000001,116.57339999999999,108.4934,96.88660000000002,91.2966,88.29679999999999
21028,114.74680000000001,127.0566,125.74659999999999,121.2366,113.71999999999998,102.9232,96.6198,93.5868
23452,206.6732,203.30339999999998,203.41,202.4434,201.7466,201.0902,201.84,202.85
23453,210.40679999999998,209.7234,210.21999999999997,210.3234,209.877,209.49020000000002,209.90680000000003,210.90680000000003
23454,211.31,210.45340000000002,210.3034,209.64679999999998,209.00679999999997,209.67980000000003,210.5,211.10340000000002
23455,203.3266,200.2066,200.6266,199.14,197.85660000000001,198.2134,198.7334,199.9534
23456,220.6132,220.14679999999998,221.3964,222.45340000000002,220.6,221.3834,222.79000000000002,222.42999999999998
