STUSPS,ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30
DC,"20052","11.2634","11.420000000000002","11.45","12.0032","12.2102","12.5566","12.8332","12.8332"
DC,"20053","10.0166","10.993599999999999","11.8402","13.780000000000001","13.843399999999999","14.236600000000001","13.296800000000001","12.3468"
DC,"20057","12.676599999999999","12.7966","13.103399999999999","13.7166","14.9434","16.189799999999998","15.969799999999998","15.5"
DC,"20064","19.2668","21.913400000000003","22.9966","25.806599999999996","26.169999999999998","27.65","27.1498","26.919999999999998"
DC,"20202","7.4902","8.0366","8.0864","8.796600000000002","9.0602","9.25","9.3432","8.9932"
DC,"20204","6.1802","6.909999999999999","7.363200000000001","8.5534","8.243199999999998","8.5634","7.8866","7.3268"
DC,"20036","16.753400000000003","17.043200000000002","17.3966","18.3266","18.986600000000003","20.6","23.2034","23.68"
DC,"20228","4.82","5.0001999999999995","4.7568","5.066799999999999","5.2234","5.1932","5.506600000000001","5.28"
DC,"20037","10.683599999999998","10.790000000000001","10.9102","11.1898","11.793199999999999","12.1634","12.330000000000002","12.020199999999999"
DC,"20230","7.0866","7.4666","7.253399999999999","7.553399999999999","7.4398","7.5200000000000005","8.05","8.0068"
DC,"20240","9.913400000000001","10.5566","10.6368","11.4834","11.4298","11.8734","13.0702","13.053199999999999"
DC,"20245","10.180000000000001","10.749999999999998","10.756799999999998","11.466800000000001","11.493199999999998","11.926399999999997","13.259800000000002","12.919799999999999"
DC,"20260","8.1068","8.5232","8.6634","9.406600000000001","9.8366","10.1366","10.293199999999999","9.8466"
DC,"20307","27.120000000000005","30.620000000000005","32.2166","35.82","37.58","38.2598","36.6768","36.32"
DC,"20317","18.060200000000002","20.193399999999997","21.6332","24.406399999999998","24.676800000000004","25.963599999999996","25.5468","25.156599999999997"
DC,"20319","12.61","13.0268","13.0434","13.9466","14.98","15.096799999999998","15.723399999999998","15.5768"
DC,"20004","10.23","10.55","10.3232","10.6434","10.603200000000001","10.8602","11.4134","11.41"
DC,"20005","13.1732","13.429999999999998","12.7434","13.15","12.859800000000002","13.1934","13.9064","14.2668"
DC,"20006","12.0334","12.72","12.906600000000001","13.6734","14.153400000000001","14.709999999999999","16.166800000000002","16.3434"
DC,"20007","16.1502","16.5034","16.7334","17.4998","18.6532","20.1098","19.523400000000002","19.4366"
DC,"20008","20.7366","21.2434","21.653399999999998","22.6736","24.0366","26.3034","30.4166","29.813200000000002"
DC,"20009","20.259800000000002","21.543199999999995","22.9866","24.813399999999998","26.617","27.5302","27.6034","27.9668"
DC,"20010","21.166800000000002","22.9864","24.7332","26.9732","29.723399999999998","30.510200000000005","30.8534","31.1436"
DC,"20011","21.1132","23.943199999999997","25.32","28.0536","28.7232","29.9668","29.250199999999996","28.666800000000002"
DC,"20373","11.4632","12.5836","13.8168","16.853199999999998","18.1998","19.0402","16.67","14.469999999999999"
DC,"20012","28.343200000000003","31.7834","33.529999999999994","37.6336","39.2432","40.1134","37.7398","37.699999999999996"
DC,"20015","28.7966","31.9236","33.3866","36.47","38.75019999999999","38.489999999999995","37.24679999999999","37.4234"
DC,"20390","8.5134","9.3236","10.1732","12.4768","11.896799999999999","12.213400000000002","11.0466","10.33"
DC,"20405","10.6902","11.4532","11.473400000000002","12.413400000000001","12.35","12.796800000000001","13.919999999999998","14.103399999999999"
DC,"20418","9.383199999999999","9.49","9.6666","10.0","10.346799999999998","10.3834","10.8266","10.67"
DC,"20427","13.48","14.186599999999999","14.320000000000002","14.9632","15.62","16.056599999999996","17.4534","17.8066"
DC,"20020","12.966800000000001","14.760200000000001","15.98","19.9432","20.5236","21.9898","19.423","16.7468"
DC,"20506","10.773","11.3332","11.4934","12.2866","12.340200000000001","12.793199999999999","13.906600000000001","13.883600000000001"
DC,"20510","9.486399999999998","10.5368","11.073400000000001","12.8432","12.7332","13.616399999999999","13.146599999999998","12.530199999999999"
DC,"20024","6.803400000000001","6.9866","6.92","7.2734","7.683400000000001","7.819800000000001","8.0866","7.783199999999999"
DC,"20001","9.1868","10.080000000000002","10.463399999999998","12.01","11.976600000000001","12.4466","11.64","11.206599999999998"
DC,"20520","9.129999999999999","9.2668","9.38","9.8268","10.059999999999999","10.2866","10.506599999999999","10.593399999999999"
DC,"20032","12.246399999999998","14.040000000000001","14.9034","18.876600000000003","19.3468","20.759999999999998","18.6498","15.573399999999998"
DC,"20535","11.3666","11.5868","11.319799999999997","11.6634","11.6568","12.1232","12.669999999999998","12.720000000000002"
DC,"20002","16.1966","18.299999999999997","19.82","22.7666","22.746799999999997","24.56","24.6234","22.3664"
DC,"20540","9.14","10.0068","10.5632","12.1834","11.893199999999998","12.6","12.1634","10.966800000000001"
DC,"20551","9.046600000000002","9.546800000000001","9.5668","10.173399999999999","10.2668","10.6066","11.986799999999999","11.6632"
DC,"20553","7.437","8.010200000000001","8.0834","8.6268","8.8536","8.843399999999999","9.0168","8.64"
DC,"20003","7.779999999999999","9.0966","10.253200000000001","12.856599999999997","12.3468","13.006599999999997","11.3602","9.886599999999998"
DC,"20560","5.666600000000001","6.066599999999999","6.089999999999999","6.5935999999999995","6.7002","6.793200000000001","6.8302","6.4266000000000005"
DC,"20565","8.7668","9.26","9.41","9.8998","10.383199999999999","10.3732","10.573400000000001","10.4"
DC,"20566","10.176599999999999","10.3","10.4566","10.716800000000001","11.25","11.6798","11.870000000000001","11.5566"
DC,"20593","10.4834","11.4666","12.1298","13.88","13.7768","14.2","13.1202","12.349799999999998"
