ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all,venue_count
22307,17.63,17.6766,19.9566,23.7632,25.0434,24.71,21.5,20.24,757365.0,250813.0,193956.0,273372.0,646273.0,815607.0,927770.0,2337.0,12
22102,22.7534,22.8166,23.29,25.6534,27.8932,28.64,25.37,25.24,1310293.0,380553.0,297980.0,421400.0,688558.0,1242328.0,1695498.0,2578.0,8
22150,18.8534,22.9132,27.2134,31.8702,31.636600000000005,29.43,22.2202,20.0732,506518.0,214873.0,197536.0,412000.0,486076.0,536202.0,602591.0,2147.0,24
22151,21.5836,25.49,30.71660000000001,35.8334,35.00980000000001,32.4902,25.3366,23.1566,541231.0,454932.0,543939.0,511021.0,501192.0,557478.0,596926.0,2059.0,4
22152,22.85,26.5434,31.6232,37.2832,36.1368,33.366600000000005,26.2968,24.2534,549328.0,266083.0,187699.0,282957.0,469804.0,600525.0,641331.0,2031.0,10
22153,25.2602,29.190000000000005,33.89,38.96,38.8668,35.80980000000001,28.7666,26.49,566259.0,433359.0,501447.0,348941.0,447230.0,638616.0,684126.0,2300.0,2
22031,23.503200000000003,23.7432,24.56,27.34,29.7768,30.3168,27.07,26.8598,698297.0,329721.0,259685.0,390245.0,531227.0,787926.0,862758.0,2226.0,3
22041,16.5366,17.3834,18.943400000000004,21.9934,22.65,22.42,20.0998,18.6564,643670.0,274948.0,225840.0,309118.0,526021.0,742258.0,823919.0,2167.0,1
22042,19.4068,19.82,21.43,24.3702,25.4532,26.2766,23.02320000000001,21.68,601046.0,304502.0,281825.0,379132.0,576196.0,629971.0,709142.0,2081.0,24
22043,15.460000000000004,15.55,15.8068,17.79,19.6064,19.8268,18.12,17.4602,754307.0,301838.0,219843.0,393971.0,642128.0,824081.0,1111356.0,2298.0,4
22044,16.163400000000006,16.103199999999998,17.1602,19.5636,20.8168,21.163400000000006,18.9102,17.576600000000006,733401.0,192991.0,176841.0,228090.0,667978.0,770237.0,867340.0,2186.0,4
22180,24.5802,25.1134,25.663,28.46660000000001,30.9566,31.9434,28.5232,28.33,784382.0,383132.0,326483.0,457342.0,723167.0,778713.0,1209783.0,2371.0,2
22181,29.6866,30.4234,31.8666,36.74980000000001,38.7868,37.8766,35.2932,37.21660000000001,843601.0,349835.0,294470.0,410621.0,643391.0,872127.0,941037.0,2433.0,1
